task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,search_tier,project_search_required,risk_flags,classifier_reason
3521,458181-10,Gantree,gantree.io,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]",Blockchain node/tooling provider with protocol-facing infra but no token signal.
3522,739660-96,Aloha Protocol,alohaprotocol.ai,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",AI consensus protocol with token rewards/penalties language.
3523,268182-46,Blank!t,blankit.com.mx,unclear,low,skip_candidate,no,"[""thin_source_context""]",Unclear brand with no stable owned crypto project signal.
3524,742127-50,Shield 3,shield3.com,security_or_compliance,low,skip_candidate,no,[],Security/auth tool with no owned token signal.
3525,551289-25,DeMR,demr.xyz,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",MR-DePIN network with explicit token incentive language.
3526,552394-90,CTRL Cloud computing,ctrl.cn,traditional_business,none,skip_candidate,no,[],Traditional cloud/tech row with no owned crypto project signal.
3527,268828-93,Consortia,reconsortia-21799282.hubspotpagebuilder.com,infrastructure_or_data,medium,full,yes,"[""token_keyword"", ""thin_source_context""]","The row explicitly references a blockchain title token, so skip_candidate was not allowed; full search was required even though no supported live ticker could be confirmed."
3528,267935-50,iExec,iex.ec,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Decentralized computing protocol with explicit utility-token language.
3529,175984-39,BOScoin,boscoin.io,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Self-evolving blockchain project with active BOS token references.
3530,551691-64,Infinite Block,inbl.io,wallet_or_custody,none,skip_candidate,no,[],Custody provider with no owned token/project signal.
3531,551751-67,Solarchain Labs,solarchainlabs.org,traditional_business,none,skip_candidate,no,[],Solar/energy business with incidental blockchain language only.
3532,553749-85,VS1,vs1.finance,dapp_or_product,high,full,yes,"[""token_keyword"", ""alias_or_former_name""]",DeFi/tokenization platform with a former-name continuity check required.
3533,550937-62,Cycle Network,cyclenetwork.io,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Settlement-layer protocol with current CYC tokenomics.
3534,551836-09,Onramp Money,onramp.money,exchange_or_broker,low,skip_candidate,no,[],Fiat-to-crypto onramp service with no owned token signal.
3535,458685-01,LABS Group,labsgroup.io,dapp_or_product,high,full,yes,"[""token_keyword""]",Real-estate tokenization ecosystem powered by an ecosystem token.
3536,458139-25,Meshine,meshine.io,unclear,low,skip_candidate,no,"[""thin_source_context""]",Unclear company with no stable owned crypto project signal.
3537,459262-36,Curvegrid,curvegrid.com,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]","Curvegrid is blockchain / digital-asset infrastructure and should have received at least a light token check, but no company-owned fungible token is supported."
3538,175821-49,Nxchange,nxchange.com,exchange_or_broker,low,skip_candidate,no,"[""alias_or_former_name""]",Regulated securities exchange; tokenized assets are not a fungible-token signal.
3539,552608-65,Mycel,mycel.land,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Account-transfer protocol with token-reward language but no obvious ticker.
3540,459505-81,Bandot,bandot.io,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Converged DeFi protocol with explicit token language and ticker conflict risk.
3541,552530-89,EmerTech Innovations,emertech.io,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]","EmerTech is blockchain-backed supply-chain and ZK-proof infrastructure, so it required at least a light token check even though no owned fungible token surfaced."
3542,267877-45,True Chain,truechain.pro,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Public chain/project name and token language need full mapping.
3543,553101-40,Digglue,digglue.com,service_provider,none,skip_candidate,no,"[""thin_source_context""]",Blockchain consulting/product development only; no owned token signal.
3544,741452-86,Zero Knowledge Podcast,zeroknowledge.fm,media_or_education,none,skip_candidate,no,"[""thin_source_context""]","Podcast/education content, no owned crypto project signal."
3545,173663-11,CCData,ccdata.io,infrastructure_or_data,none,skip_candidate,no,"[""alias_or_former_name"", ""thin_source_context""]",CryptoCompare legacy data business; no owned token signal.
3546,458416-63,StakeHound,stakehound.com,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Liquid-staking wrapper platform with token family language.
3547,173859-31,Buglab,buglab.io,security_or_compliance,low,light,yes,"[""brand_project_mismatch"", ""live_site_conflict""]",Current site is SaaS; token history is secondary-only and unclear.
3548,552716-83,FewerClicks Labs,fewerclicks.co,service_provider,none,skip_candidate,no,"[""thin_source_context""]",IT/product consultancy only; no owned token signal.
3549,459103-60,Roll.io,roll.io,gaming_or_nft,low,light,yes,"[""nft_or_gaming"", ""thin_source_context""]",Blockchain casino/gaming context but no obvious company token.
3550,174295-27,realfactor.io,realfactor.io,security_or_compliance,low,light,yes,"[""thin_source_context""]",Identity-auth platform with blockchain terms; no clear fungible token.
3551,174317-14,One Click Innovations,onclickinnovations.com,service_provider,none,skip_candidate,no,"[""alias_or_former_name"", ""thin_source_context""]",Custom software services with only incidental blockchain wording.
3552,174526-48,Cryptonomica,cryptonomica.net,security_or_compliance,low,light,yes,"[""alias_or_former_name"", ""thin_source_context""]",Identity/KYC and document-signing platform; former name needs continuity check.
3553,174854-62,Easter Egg,eastereggapp.com,dapp_or_product,medium,full,yes,"[""token_keyword"", ""thin_source_context""]","The row explicitly describes blockchain-powered coins/tokens for gifting vouchers, so full search was required even though no supported live ticker could be confirmed."
3554,552584-44,Frontech,frontech.om,service_provider,none,skip_candidate,no,"[""thin_source_context""]",Fintech consulting/services only; no project token signal.
3555,741635-02,SWISS 6022,swiss6022.ch,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Protocol and tokenomics language imply a fungible token family.
3556,458215-93,Freeports,freeports.io,infrastructure_or_data,medium,light,yes,"[""protocol_keyword"", ""thin_source_context""]","Tokenization infrastructure, but no company-owned token signal."
3557,741793-33,Liquid Link,liquidlink.ai,infrastructure_or_data,low,light,yes,"[""alias_or_former_name"", ""brand_project_mismatch"", ""thin_source_context""]",Former-name/site mismatch and token wording require a bounded probe.
3558,741799-99,xMarkets,x.markets,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword"", ""multiple_project_signal""]",Prediction-market platform with explicit token gate and ecosystem coins.
3559,267900-76,Beijing DianDianChain,hubox.cn,infrastructure_or_data,low,light,yes,"[""brand_project_mismatch"", ""thin_source_context""]",Company/domain mismatch and no stable token mapping.
3560,267915-97,Cow Moon Wealth Software,landing.common.xyz,protocol_or_network,high,full,yes,"[""brand_project_mismatch"", ""token_keyword""]",Common protocol identity is explicit and token-linked.
3561,267965-20,Planetarium Labs,planetariumlabs.com,gaming_or_nft,high,full,yes,"[""nft_or_gaming"", ""token_keyword"", ""protocol_keyword""]",Web3 gaming company with explicit token economy language.
3562,459083-26,BTCXE,btcxe.com,exchange_or_broker,none,skip_candidate,no,"[""thin_source_context""]",Exchange software only; no company-owned token signal.
3563,268023-07,Most Caffeine,,infrastructure_or_data,none,skip_candidate,no,"[""domain_missing"", ""thin_source_context""]",No official domain and no token/project signal.
3564,268028-02,Sertifier,sertifier.com,service_provider,none,skip_candidate,no,"[""thin_source_context""]",Credential SaaS only; no token signal.
3565,268028-20,ForFarming,forfarming.co,dapp_or_product,low,light,yes,"[""protocol_keyword""]","ForFarming describes AI + blockchain traceability software, so it required at least a light token check even though no company-owned fungible token was found."
3566,268069-24,Upland,upland.me,gaming_or_nft,high,full,yes,"[""nft_or_gaming"", ""token_keyword""]",Blockchain game with explicit fungible token language.
3567,268074-73,Liquefy,liquefy.com,infrastructure_or_data,medium,light,yes,"[""protocol_keyword"", ""thin_source_context""]","Tokenization platform, but no company-owned token signal."
3568,553151-80,Switch Electric (Alternative Energy Equipment),whynotswitch.com,traditional_business,none,skip_candidate,no,"[""thin_source_context""]",Clean-tech / solar metering company with incidental blockchain keyword only.
3569,268117-03,FiNANCiE,corp.financie.jp,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Token-issuing platform with explicit platform-token language.
3570,459463-78,OIN,oin.finance,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",DeFi protocol with direct token and reward language.
3571,268173-10,BlockCerts Blockchain,blockcerts.com,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Blockchain token platform with explicit BCERTS utility-token language; high likelihood of an owned protocol/token project.
3572,268197-31,IXX.com,ixx.com,exchange_or_broker,medium,light,yes,[],Digital asset exchange; crypto-adjacent but no explicit owned token signal in the row.
3573,742125-88,Chain Gab,chaingab.com,infrastructure_or_data,low,light,yes,"[""nft_or_gaming""]",NFT market analytics platform; crypto-adjacent but no owned fungible-token signal.
3574,268203-16,Kanooq,kanooq.com,traditional_business,none,skip_candidate,no,[],IoT sensing/monitoring platform with no owned crypto project signal; token search budget not justified.
3575,268203-25,Striga,striga.com,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]",Crypto-integrated banking/payment infrastructure; crypto-native enough to justify a bounded token check.
3576,459233-56,FEC China,feccloud.com,traditional_business,none,skip_candidate,no,[],Generic SaaS platform in China with no owned crypto-project signal; token search budget not justified.
3577,552861-37,Qsimov,qsimov.com,infrastructure_or_data,low,light,yes,[],AI/cryptography software with weak crypto adjacency but no explicit token signal.
3578,268240-78,Safle,safle.com,wallet_or_custody,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Decentralized wallet/identity product with explicit SAFLE docs and token page; high likelihood of owned token project.
3579,268246-00,GamerHash,gamercoin.com,dapp_or_product,high,full,yes,"[""brand_project_mismatch"",""token_keyword""]",GamerHash ecosystem has explicit GHX/GamerCoin token language; high likelihood of an owned token.
3580,742338-19,Bitskwela,bitskwela.com,media_or_education,none,skip_candidate,no,[],Crypto education platform with no owned project signal; token search budget not justified.
3581,268273-54,Viker,viker.co.uk,gaming_or_nft,medium,light,yes,"[""nft_or_gaming""]",Blockchain-based game studio; crypto-native gaming context warrants a bounded token check.
3582,268275-88,Secure Impact,secureimpact.com.au,traditional_business,none,skip_candidate,no,[],Real-estate marketplace with no owned crypto project signal; token search budget not justified.
3583,268278-76,Nota Registrada,notaregistrada.com.br,service_provider,low,light,yes,"[""protocol_keyword""]","Financial platform with blockchain context; low-to-moderate chance of a project token, so keep a light search."
3584,268280-65,ByeBnk,byebnk.com,investment_or_holdings,low,light,yes,"[""protocol_keyword""]",DeFi/investment platform with crypto-adjacent framing; cheap token-existence check is warranted.
3585,268293-97,Blue Studios Labs,bluestudios.io,wallet_or_custody,medium,full,yes,"[""token_keyword""]",Family crypto wallet with token-holder language; brand/project relationship needs a full search.
3586,268306-57,Honey Travel,,dapp_or_product,medium,full,yes,"[""token_keyword""]",Blockchain-integrated travel app with explicit honey-token language; full search is required.
3587,459240-04,KAYR,kayr.ca,dapp_or_product,low,light,yes,[],Blockchain-enabled community/rewards app with weak project-token signal; bounded token check is enough.
3588,458580-52,Jolocom,jolocom.io,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]",Decentralized identity/access-management product; protocol-facing enough for a light token check.
3589,268342-03,Mythic Markets,mythicmarkets.com,investment_or_holdings,low,light,yes,"[""brand_project_mismatch"",""nft_or_gaming""]",Fractional collectibles marketplace with NFT-adjacent language but no clear fungible-token signal.
3590,268344-82,EarnDLT,earndlt.com,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",EarnDLT explicitly references QET technology / quantified emissions tokens; high likelihood of a tokenized project.
3591,458532-73,FileStar (),filestar.net,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Decentralized storage/network project with explicit STAR token page; high likelihood of an owned token.
3592,268368-40,3Box Labs,3boxlabs.com,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]",Decentralized identity/open-data platform with blockchain protocol context but no explicit token signal.
3593,458312-32,Bwton,bwton.com,traditional_business,none,skip_candidate,no,[],Rail-transit ticketing business with no owned crypto project signal; token search budget not justified.
3594,268385-68,Magnifi (Other Financial Services),magnifi.com,traditional_business,none,skip_candidate,no,[],Investment-comparison marketplace with no owned crypto project signal; token search budget not justified.
3595,268390-09,ShieldIO,shieldio.com,security_or_compliance,none,skip_candidate,no,[],Security/encryption platform with no owned crypto project signal; token search budget not justified.
3596,742476-07,Gamba Labs,gambalabs.ai,traditional_business,low,light,yes,[],AI hardware business with blockchain keyword leakage but no clear owned token signal.
3597,268412-59,blockWRK,blockwrk.com,dapp_or_product,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Blockchain productivity application with explicit WRK token evidence; high likelihood of an owned token.
3598,742101-58,Smartos,smartos.space,protocol_or_network,medium,light,yes,"[""protocol_keyword""]","Smart-contract platform is crypto-native infra, but no explicit token signal is present."
3599,741529-36,ForU AI,foruai.io,dapp_or_product,high,full,yes,"[""protocol_keyword"",""token_keyword""]",ForU AI explicitly markets a FORU token / reputation economy; high likelihood of an owned token.
3600,458427-16,TEEware,teeware.io,security_or_compliance,low,light,yes,"[""protocol_keyword""]",TEE-based blockchain security software is crypto-adjacent infrastructure; keep a bounded token check.
3601,268465-51,Eideticom,eideticom.com,traditional_business,none,skip_candidate,no,[],Computational-storage hardware company; crypto keywords are incidental and no owned crypto project signal is present.
3602,459519-04,Scandinavian Fintech,scandinavianfintech.se,dapp_or_product,medium,light,yes,"[""protocol_keyword""]","Crypto-adjacent payments product with stablecoin and Lightning support, but no explicit token/project signal."
3603,268483-24,Linglian Ar-chain,,dapp_or_product,medium,light,yes,"[""protocol_keyword""]","Blockchain ecosystem language suggests a project could exist, but no token is explicit and the identity is thin."
3604,742211-92,Kisantreat Agritech India,pranamkisan.com,dapp_or_product,low,light,yes,"[""protocol_keyword""]","Agri-tourism platform with blockchain/barter language, but no explicit token signal."
3605,268491-25,Merkle Science,merklescience.com,security_or_compliance,low,light,yes,"[""protocol_keyword""]",Crypto-risk monitoring product is adjacent to crypto but not itself a tokenized project.
3606,268520-14,Aldrin,aldrin.com,exchange_or_broker,high,full,yes,"[""token_keyword""]",Crypto exchange with explicit utility-token language; token search is required.
3607,268546-69,Fnality,fnality.com,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]","DLT payment infrastructure with institutional context, but no company token signal is explicit."
3608,171982-99,PLAY,theplay.network,gaming_or_nft,high,full,yes,"[""token_keyword"", ""nft_or_gaming""]",Web3 gaming platform with explicit token-economy language; token-family sweep is required.
3609,172032-22,Cognate (Media and Information Services (B2B)),cognate.com,security_or_compliance,low,light,yes,"[""protocol_keyword""]",Blockchain-powered trademark protection platform; no token is explicit.
3610,172035-10,CoolBitX,coolbitx.com,wallet_or_custody,low,light,yes,[],Crypto-asset security/custody company with no explicit token/project signal.
3611,172052-29,Melten,melten.com,traditional_business,low,light,yes,[],Healthcare systems company with incidental blockchain wording and no token/project signal.
3612,268576-03,Cere,cere.network,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Decentralized data-cloud protocol with explicit CERE token and staking language.
3613,268579-90,Vairt,vairt.com,dapp_or_product,low,light,yes,[],Real-estate crowdfunding product that mentions blockchain but no owned token signal.
3614,172113-76,SeSocio,sesocio.com,exchange_or_broker,low,light,yes,[],"Trading/investment marketplace with blockchain context, but no explicit token signal."
3615,172175-77,Loci (Database Software),loci.io,dapp_or_product,high,full,yes,"[""token_keyword"", ""legacy_ticker_conflict""]",Patent research platform with a prior token sale and explicit LOCIcoin linkage.
3616,172368-46,Bitcoin Suisse,bitcoinsuisse.com,exchange_or_broker,low,light,yes,[],Crypto finance/custody services company with no explicit token signal.
3617,268700-14,Ovex,ovex.com,exchange_or_broker,low,light,yes,"[""protocol_keyword""]","Blockchain liquidity platform for crypto assets, but no token is explicit."
3618,268706-71,Helios (Other Financial Services),heliosp2p.com,dapp_or_product,low,light,yes,[],Peer-to-peer lending platform with blockchain language but no token signal.
3619,172444-15,Qtum,qtum.org,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword""]",Public blockchain platform with explicit QTUM token and staking/governance language.
3620,268727-41,Game Theory Group,gametheorygroup.co,investment_or_holdings,none,skip_candidate,no,[],"Investment organization with no owned crypto project signal, so token search is not justified."
3621,172603-36,CipherTrace,ciphertrace.com,security_or_compliance,low,light,yes,[],Crypto-risk/compliance product; no owned token signal is explicit.
3622,172659-16,Inteligencia en Finanzas,albo.com,traditional_business,none,skip_candidate,no,[],Fintech row appears to be a non-crypto company with only weak dataset contamination.
3623,172755-19,TBTM,tbtm.app,media_or_education,high,full,yes,"[""token_keyword"", ""nft_or_gaming""]",Blockchain-based media fintech with explicit reward-token language.
3624,458078-41,Bonfida,bonfida.org,protocol_or_network,high,full,yes,"[""alias_or_former_name"", ""token_keyword""]",Solana Name Service / Bonfida rebrand with tokenomics language and multiple token-family signals.
3625,458122-78,Koda,kodax.com,wallet_or_custody,low,light,yes,"[""brand_project_mismatch""]","Digital-asset custody provider; token pages with the same name exist, but they are unrelated to the company."
3626,173219-05,New Generation Sensors,ngs-sensors.it,traditional_business,none,skip_candidate,no,[],IoT supply-chain hardware company; crypto keyword contamination does not justify a token search.
3627,458182-81,rexs.io,rexs.io,security_or_compliance,low,light,yes,"[""protocol_keyword""]",Blockchain notarization service with no explicit fungible token signal.
3628,458192-62,Esme Learning,esmelearning.com,media_or_education,none,skip_candidate,no,[],"Education platform with incidental blockchain course language, but no owned crypto project signal."
3629,266254-30,Custom Blockchain Solutions,customblockchainsolutions.com,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]",Blockchain advertising-visibility platform with no explicit token signal.
3630,550937-80,Skytopia,skytopia.io,gaming_or_nft,medium,light,yes,"[""nft_or_gaming""]","Blockchain gaming company, but no explicit token language is present on the input row."
3631,550957-87,Multiledgers,multiledgers.com,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]",Blockchain platform and multi-chain infra; token not evident but protocol-facing product merits a light check.
3632,551001-97,Myraa Technologies,myraatechnologies.com,service_provider,none,skip_candidate,no,"[""thin_source_context""]",Tech services profile; blockchain mention appears incidental and no owned project signal is visible.
3633,266295-70,Figment (Financial Software),figment.io,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]",Crypto staking infrastructure is protocol-facing and could map to native assets; light probe warranted.
3634,551275-30,Chainbound,chainbound.io,infrastructure_or_data,low,light,yes,"[""protocol_keyword""]",Ethereum pre-confirmation protocol is protocol-facing infra; light token check warranted.
3635,551276-47,Hydra Ventures,hydraventures.xyz,investment_or_holdings,none,skip_candidate,no,"[""token_keyword""]",Investment fund profile with no owned crypto project signal.
3636,551305-45,TrendX,trendx.tech,dapp_or_product,high,full,yes,"[""token_keyword"", ""multiple_project_signal""]",Web3 investment product with explicit token ecosystem; full mapping needed.
3637,266312-08,51 Signing,51signing.com,service_provider,none,skip_candidate,no,"[""protocol_keyword""]",Notarization and digital-signature service with blockchain features but no owned token signal.
3638,266313-16,System 9,system9.io,infrastructure_or_data,low,light,yes,"[""token_keyword"", ""protocol_keyword""]",Liquidity tooling for token issuers is crypto-native and worth a bounded check.
3639,266326-48,Yourbitstore.Com,yourbitstore.com,exchange_or_broker,none,skip_candidate,no,[],Bitcoin trading app with no owned project or token signal.
3640,551345-77,BRC20,brc20.com,protocol_or_network,high,full,yes,"[""token_keyword"", ""protocol_keyword"", ""brand_project_mismatch""]",BRC20.com has explicit token ecosystem and .COM token; full mapping needed.
3641,266345-83,Hex Trust,hextrust.com,wallet_or_custody,low,light,yes,"[""token_keyword"", ""thin_source_context""]",Custody and token-issuance language is crypto-native but no clear own token signal appears.
3642,551392-12,Ta-da,ta-da.io,dapp_or_product,high,full,yes,"[""token_keyword""]",Official docs mention $TADA utility rewards and staking; full mapping needed.
3643,266376-70,MoonPay,moonpay.com,exchange_or_broker,none,skip_candidate,no,[],Crypto payments and on-ramp service with no owned token/project signal.
3644,551510-56,Ockams,ockams.com,security_or_compliance,low,light,yes,"[""protocol_keyword""]",Secure communication and data-trust infra is crypto-adjacent and protocol-facing.
3645,266382-64,Acre (Financial Software),getacregold.com,traditional_business,low,light,yes,"[""alias_or_former_name""]",Current Acre brand is precious metals but former-name continuity warrants a bounded check.
3646,266384-80,UMA (Financial Software),uma.xyz,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Decentralized oracle protocol with a live UMA governance token; full mapping needed.
3647,551657-53,Umoja,umoja.xyz,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword"", ""multiple_project_signal""]",DeFi structured finance protocol with multiple native assets and token-family language.
3648,551671-84,Ringfence,ringfence.ai,dapp_or_product,high,full,yes,"[""token_keyword"", ""nft_or_gaming""]",Official site names native token RING and the product is onchain by design.
3649,551686-60,VDEX (Financial Services),vdex.trade,exchange_or_broker,low,light,yes,"[""protocol_keyword""]",ZK exchange and onchain trading product is crypto-native but no token signal is visible.
3650,551694-07,Rethinkable,rethinkable.xyz,dapp_or_product,low,light,yes,"[""token_keyword""]",Web3 networking product has rewards language so a bounded token check is justified.
3651,551718-46,NoahArk Tech Group,noahark.io,protocol_or_network,medium,full,yes,"[""protocol_keyword"", ""token_keyword"", ""multiple_project_signal""]",DeFi liquidity aggregation protocol with token-family signals; secondary-only linkage needs a full pass.
3652,551751-76,Kasu,kasu.finance,protocol_or_network,medium,full,yes,"[""token_keyword"", ""protocol_keyword""]",RWA lending protocol has $KASU token docs but the TGE is pending.
3653,551756-44,BOOM Technologies,boom.market,traditional_business,none,skip_candidate,no,"[""thin_source_context""]",Cash-based e-commerce and investment profile with no owned token signal.
3654,266489-11,Stasis,stasis.net,protocol_or_network,high,full,yes,"[""token_keyword"", ""protocol_keyword""]",Euro-backed stablecoin issuer with a live EURS token; full mapping needed.
3655,266495-77,Jiaguwen,chaojima.com,service_provider,low,light,yes,"[""alias_or_former_name"", ""protocol_keyword""]",Former-name continuity and blockchain traceability SaaS warrant a bounded check.
3656,266506-93,Xtreme Blockchain Labs,xblockchainlabs.com,infrastructure_or_data,low,light,yes,"[""alias_or_former_name"", ""token_keyword""]",Former-name continuity and tokenization context warrant a bounded check.
3657,266508-46,Drife,drife.io,dapp_or_product,high,full,yes,"[""token_keyword""]",Blockchain ride-hailing platform with a live $DRF utility token; full mapping needed.
3658,266532-31,Agora Science,agorascience.com,dapp_or_product,medium,full,yes,"[""token_keyword""]",Description explicitly mentions Agora Tokens but the current mapping is unresolved.
3659,552558-07,Renzo Protocol,renzoprotocol.com,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""token_keyword"", ""multiple_project_signal""]",Liquid restaking protocol with REZ and ezETH token-family language.
3660,646551-91,21 Impact Labs,21impactlabs.com,dapp_or_product,low,full,yes,"[""token_keyword"", ""nft_or_gaming""]",DAO and crypto-economic platform with NFT-funding language; verify whether any fungible token exists.
3661,266563-09,Fineon Exchange,fineon.net,traditional_business,low,light,yes,"[""protocol_keyword""]","Trade-finance marketplace with blockchain in the description, but it reads like a conventional fintech platform rather than a tokenized crypto project."
3662,266572-63,Blockskye,blockskye.com,dapp_or_product,low,light,yes,"[""protocol_keyword""]","Blockchain-enabled travel booking product; still looks like a product company, so a bounded token search is warranted."
3663,740187-55,Spark Lands,sparklands.co,dapp_or_product,medium,full,yes,"[""protocol_keyword""]","Real-estate tokenization language suggests a possible blockchain project or asset-claim product, so a full search is justified."
3664,266629-96,Mudrex,mudrex.com,exchange_or_broker,high,full,yes,[],Crypto investing platform with exchange-like behavior; full company-to-project-to-token search is appropriate.
3665,266645-35,Rain (Financial Software),rain.com,exchange_or_broker,high,full,yes,[],Licensed crypto exchange and trading platform; project and token search should be done at full depth.
3666,741027-07,Soft Freak,softfreak.kr,security_or_compliance,low,light,yes,"[""protocol_keyword""]","Primarily a security/threat-management company; blockchain appears as an adjacent keyword, so only a bounded token check is justified."
3667,741115-72,Swarm Network,swarmnetwork.ai,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]","On-chain verifiable AI-agent infrastructure is crypto-adjacent enough for a bounded token-existence check, but not enough to assume a token."
3668,266670-64,KaRaKu,karaku.cn,gaming_or_nft,low,light,yes,"[""protocol_keyword"", ""nft_or_gaming""]","Entertainment platform with blockchain references and gaming-like context; do a limited token check, but the row does not read like a token issuer."
3669,741124-45,Unto Labs,untolabs.com,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]","Blockchain infrastructure company with a project-like description, but no explicit token language; bounded search first."
3670,266690-08,Young Platform,youngplatform.com,exchange_or_broker,high,full,yes,[],Crypto exchange platform with Web3/NFT adjacency; project and token mapping should be done at full depth.
3671,741142-81,Puri Prince,puri-prince.co.jp,media_or_education,low,light,yes,"[""protocol_keyword""]","Anime/content platform with blockchain-based originality verification, which merits a bounded token check but not a full token assumption."
3672,266704-93,Horizen Labs,horizenlabs.io,protocol_or_network,high,full,yes,"[""protocol_keyword"", ""brand_project_mismatch""]",Blockchain lab with explicit sidechain and web3 infrastructure language; the brand/project boundary needs full review.
3673,741153-52,Amerany,amerany.com,dapp_or_product,medium,full,yes,"[""protocol_keyword""]","Staking/liquidity gateway language suggests a token-adjacent DeFi product, so it deserves a full token search."
3674,266705-92,Champ,champtitles.com,traditional_business,none,skip_candidate,no,"[""protocol_keyword""]",Vehicle title management software with a stray blockchain keyword; no owned crypto project signal justifies token search.
3675,266916-79,Elph,elph.com,wallet_or_custody,medium,full,yes,"[""token_keyword""]",Crypto payment and custody software with explicit token-curated language; a full token-family pass is warranted.
3676,741225-61,Moonshot (Other Financial Services),moonshot.money,exchange_or_broker,high,full,yes,"[""token_keyword""]",Meme-coin trading app with direct crypto-wallet behavior; full project-to-token review is appropriate.
3677,741268-90,Grix (Brokerage),grix.finance,dapp_or_product,high,full,yes,"[""protocol_keyword""]",DeFi derivatives platform with on-chain execution language; full mapping is justified even if the end result is tokenless.
3678,266930-83,Notarised,notarised.io,security_or_compliance,low,light,yes,"[""protocol_keyword""]",Decentralized notarization and digital identity product; crypto-adjacent but not clearly a token issuer.
3679,929057-14,Spark XD,sparkstudio.gg,service_provider,low,light,yes,"[""protocol_keyword"", ""nft_or_gaming""]","Game-production services for blockchain-based environments are crypto-adjacent, but the row still looks like outsourced services rather than a token project."
3680,266978-89,Xiamen Atwork,atwork.cn,service_provider,none,skip_candidate,no,"[""protocol_keyword""]",Shared-office and incubator services with only a dataset-level blockchain association; no owned project signal justifies search budget.
3681,266989-69,Tesseract Systems,tesseract.one,infrastructure_or_data,high,full,yes,"[""protocol_keyword""]",Blockchain app-development infrastructure with clear protocol-facing language; full mapping is warranted.
3682,739655-74,Fluidkey,fluidkey.com,wallet_or_custody,high,full,yes,[],"Privacy-preserving wallet is crypto-native and could plausibly have project-level token links, so full search is appropriate."
3683,458178-76,keyTango,beta.keytango.io,infrastructure_or_data,high,full,yes,"[""protocol_keyword""]",DeFi infrastructure with MPC wallets and smart-contract integrations; full project and token mapping is warranted.
3684,267039-91,BlockGen (IT Consulting and Outsourcing),blockgen.com,mining_or_validator,medium,light,yes,"[""protocol_keyword""]","Mining automation software is crypto-native infrastructure, but the available context is still limited enough to justify a bounded search first."
3685,267053-14,Onchain Custodian,oncustodian.com,wallet_or_custody,medium,light,yes,[],"Institutional custody platform is crypto-adjacent but not inherently a token issuer, so a bounded token check is enough."
3686,267087-16,MakersPlace,makersplace.com,gaming_or_nft,medium,light,yes,"[""nft_or_gaming""]","NFT marketplace and digital-art platform with no clear fungible-token cue, so a light token-existence check is sufficient."
3687,741005-38,Weiwo Technology,,service_provider,none,skip_candidate,no,"[""protocol_keyword""]",Generic software and outsourcing services with only broad blockchain references; no owned project signal justifies a search.
3688,268063-48,Retix,retix.co,dapp_or_product,medium,light,yes,"[""protocol_keyword""]",Ticketing platform with a blockchain-backed ledger reference; crypto-adjacent enough for a bounded token check.
3689,267155-02,New Internet Labs,newinternetlabs.com,infrastructure_or_data,medium,light,yes,"[""protocol_keyword""]","Decentralized-web software is infrastructure-like and could map to a project, but there is no explicit token language."
