task_index,investor_id,investor_name,normalized_domain,primary_investor_type,investor_archetype,crypto_native_likelihood,operating_capability_likelihood,search_tier,capability_search_required,risk_flags,classifier_reason
2769,58924-36,AnSem,ansem.com,Corporation,operating_company_disguised_as_investor,none,none,light,yes,"[""skip_guard_reclassified_light""]","Light search required by deterministic guard; exact-domain probes found no relevant Part6 capability signal. Exact-name and exact-domain probes identify AnSem as an analog/RF/mixed-signal ASIC design company acquired by Cyient, with no crypto/Web3, financial-services, investing/fund, trading, liquidity, DeFi, or fund-structure signal."
2770,459997-21,Anthony Coscio,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution_limit""]",Anthony Coscio appears as an individual angel/family investor focused on digital currencies; no source-backed personal operating trading or fund-platform capability was found.
2771,608657-23,Anthony Ramirez,,Angel (individual),angel_or_individual,high,medium,full,yes,"[""individual_attribution_limit""]","Anthony Ramirez is tied to Wormhole and prior Jump Crypto roles, creating a strong crypto operating affiliation, but the row is an individual and does not inherit organizational capabilities."
2772,489582-28,Antigua Ventures,antiguaventures.com,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""limited_public_sources""]","Antigua Ventures has sparse public data but trusted/secondary profiles tie antiguaventures.com to crypto, gaming, blockchain, and investment categories; no operating capability signal was found."
2773,494346-52,Apollo Ventures,,Venture Capital,traditional_vc_or_pe,none,low,light,yes,[],"The Berlin Apollo Ventures match is Apollo Health Ventures, a healthcare/biotech venture firm with no crypto or target operating capability signal."
2774,507159-73,AquaBlock Ventures,aquablock.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,"[""historical_or_inactive""]",AquaBlock Ventures is profiled as an inactive/former crypto VC; portfolio exposure does not support current operating capabilities.
2775,556685-20,ARC,arc.xyz,Corporation,operating_company_disguised_as_investor,medium,low,full,yes,"[""operating_company_row""]","ARC is an NFT-enabled membership/community operating company, so full review was needed, but the evidence shows community/NFT membership rather than trading, DeFi, liquidity, or fund-structure capabilities."
2776,471845-80,Archangel Ventures,archangel.vc,Venture Capital,traditional_vc_or_pe,low,medium,full,yes,"[""fund_structure_signal""]","Archangel Ventures is an Australian VC with official evidence of Archangel group companies and current/upcoming fund entities under the Archangel brand, creating a sub-fund/fund-vehicle structure signal."
2777,268151-50,Aria Group,ariagp.io,Family Office,asset_manager_or_family_office,high,low,light,yes,[],"Aria Group is a Hong Kong family office/technology VC with official blockchain, digital-asset, and Web3 investment focus; no operating trading or DeFi capability signal was found."
2778,513344-71,Arjun Krishan Kalsy,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution_limit""]",Arjun Krishan Kalsy is an individual associated with Polygon and crypto angel investments; affiliation/portfolio exposure does not support personal operating capabilities.
2779,489880-90,Arnold Poernomo,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_attribution_limit""]",Arnold Poernomo is profiled as an individual/angel crypto investor with limited portfolio exposure; no operating capability evidence was found.
2780,489248-47,Arthur Madrid,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution_limit""]",Arthur Madrid is an individual angel and The Sandbox co-founder/CEO; Web3 gaming affiliation does not transfer organizational capabilities to the individual row.
2781,161182-90,Artia Moghbel,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_attribution_limit""]","Artia Moghbel is an individual angel/advisor associated with Dfinity, Code & State, and Web3 ventures; no direct personal capability evidence was found."
2782,106033-87,Ashton Kutcher,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution_limit""]","Ashton Kutcher is an individual angel/venture investor with broad tech exposure and some crypto portfolio mentions, but no direct personal operating capability evidence."
2783,462610-90,Asse Sauga,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution_limit""]",Asse Sauga is an individual angel/crypto professional with blockchain and fintech company associations; individual association and investments do not establish row-level operating capabilities.
2784,719616-52,Astera Ventures,asteraventures.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Astera Ventures is a blockchain/Web3-focused VC according to its official site and PitchBook; no current operating trading, DeFi, or sub-fund capability was found."
2785,454549-24,Aurel Iancu,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_attribution_limit""]",Aurel Iancu is an individual angel with blockchain/crypto investment and Dokia Capital context; no direct personal operating capability was found.
2786,439779-88,Aurelia Ventures,aureliaventures.com,Venture Capital,accelerator_or_incubator,low,low,light,yes,[],"Aurelia Ventures is an operator VC/accelerator for B2B SaaS founders with fintech listed locally, but no crypto/Web3 or target operating capability evidence."
2787,491772-61,Aurin Investment Group,,PE/Buyout,traditional_vc_or_pe,none,low,light,yes,[],Aurin Investment Group is a Frankfurt private-equity firm with finance/fintech sector interest but no crypto or target operating capability signal.
2788,484574-41,Aurumsy,aurumsy.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Aurumsy is a Singapore-based investment/advisory company investing in blockchain and other technologies; no operating trading or DeFi capability was found.
2789,454843-72,Auryn Macmillan,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution_limit""]","Auryn Macmillan is an individual associated with Gnosis Guild, clr.fund, and crypto angel investments; organization/protocol affiliations do not transfer to the individual row."
2790,183847-87,Autonomy Ventures,autonomyventures.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""historical_or_inactive"",""portfolio_exposure_only""]","Autonomy Ventures is a former/early-stage VC with frontier-tech focus and some DeFi portfolio exposure, but investment exposure does not support operating capabilities."
2791,496246-78,AVA Capital Finance,avacapital.finance,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""historical_or_inactive_status""]","Local profile and current searchable profiles describe AVA Capital Finance as a Vietnam crypto/digital-asset venture investor; relevance requires light capability search, but there is no initial operating desk, venue, DeFi-operator, or parent-platform signal."
2792,589095-19,Avail (Software Development Applications),availproject.org,VC-Backed Company,operating_company_disguised_as_investor,high,medium,full,yes,"[""crypto_operating_company""]","Avail is a crypto-native modular blockchain/data-availability operating company, so full search was required to rule out trading, venue, or DeFi-protocol capabilities."
2793,539798-77,Avalanche Foundation,,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""foundation_or_ecosystem_entity"",""parent_fund_structure_signal""]","Avalanche Foundation is a crypto ecosystem foundation with current funding-program and dedicated-fund signals, requiring full search for structure and operating capabilities."
2794,108098-92,Avalanche Investments,,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""name_collision_with_crypto_entity""]",Avalanche Investments is a Michigan venture firm name collision with Avalanche crypto entities; light search was needed because it is an investor row.
2795,436552-21,Awesome People Ventures,awesomepeople.ventures,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""crypto_or_web3_investment_thesis""]","Awesome People Ventures is a web3-oriented venture investor, requiring light search but with no operating capability signal."
2796,687030-13,AWS Clean Energy Accelerator 4.0,,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""accelerator_program""]","AWS Clean Energy Accelerator is an accelerator/investing-support program, requiring light search; local context has no crypto or trading signal."
2797,530908-66,AWS Startups,aws-startup-lofts.com,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""accelerator_program""]","AWS Startups is a startup support/accelerator program, requiring light search because it is an investor-support row."
2798,537038-74,Axiom BTC,axiombtc.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""crypto_or_bitcoin_investment_thesis""]","Axiom BTC is a Bitcoin-focused venture capital firm, so light search was required for operating capability confirmation."
2799,100901-44,Axiom Zen,axiomzen.com,Venture Capital,operating_company_disguised_as_investor,medium,medium,full,yes,"[""venture_studio"",""controlled_affiliate_ambiguity""]","Axiom Zen is a venture studio with blockchain-linked spinouts/operating portfolio, requiring full attribution review."
2800,466891-48,Axone Capital,axonecapital.com,Family Office,asset_manager_or_family_office,none,low,full,yes,"[""spv_structure_signal"",""family_office""]","Axone Capital is a family-office/startup-incubator row with explicit SPV language, requiring full structure review."
2801,438803-47,B Cryptos,,Corporation,operating_company_disguised_as_investor,medium,low,light,yes,"[""limited_current_official_evidence""]","B Cryptos has crypto/blockchain service and investment/incubation signals, requiring light search despite limited official current evidence."
2802,481578-58,B21 Capital,,Angel (individual),crypto_native_vc,high,low,light,yes,"[""crypto_or_web3_investment_thesis""]","B21 Capital has clear blockchain investment signals, requiring light search but no operating capability signal."
2803,507138-31,BAI Capital,bai-cap.com,Corporate Venture Capital,traditional_vc_or_pe,medium,low,light,yes,"[""corporate_vc_affiliate"",""crypto_or_web3_investment_thesis""]","BAI Capital is a broad venture fund with fintech/web3 investment signals, requiring light search but no operating capability signal."
2804,515572-84,Bankless,bankless.com,Corporation,operating_company_disguised_as_investor,high,low,full,yes,"[""media_company_with_venture_fund_signal"",""parent_fund_structure_signal""]","Bankless is a crypto media company with an affiliated/current Bankless Ventures fund signal, requiring full structure review."
2805,25313-86,Barclays,home.barclays,Investment Bank,market_maker_or_otc_firm,low,high,full,yes,"[""regulated_investment_bank"",""multi_capability_trading_business""]","Barclays is a major investment bank/global markets dealer with explicit electronic trading, liquidity, algorithm, OTC derivatives, and divisional structure signals, requiring full search."
2806,688402-72,Barmy,bsc.army,Corporation,operating_company_disguised_as_investor,medium,low,light,yes,"[""crypto_token_or_dao_signal""]","Barmy/BscArmy has BNB Chain token and DAO/community signals, requiring light search but no current trading protocol signal."
2807,489254-05,Bas Ventures,basventuresinc.com,Corporation,operating_company_disguised_as_investor,low,low,light,yes,"[""asset_management_industry_service"",""identity_overlap_with_crypto_profile""]","BAS Ventures has asset-management service and possible blockchain investor-profile signals, requiring light search."
2808,471496-42,Based Ventures,based.ventures,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""historical_or_inactive_status"",""crypto_or_web3_investment_thesis""]","Based Ventures is a blockchain-focused venture investor with inactive-status signals, requiring light search."
2809,588705-58,BaseDAO,basedao.org,Corporation,crypto_native_vc,high,low,light,yes,"[""dao_or_investment_dao_signal"",""limited_current_official_evidence""]","BaseDAO has decentralized investment DAO and crypto fund signals, requiring light search but no operating capability evidence."
2810,230536-00,BaseTech Ventures,basetechventures.com,Family Office,asset_manager_or_family_office,low,low,light,yes,"[""family_office_or_holding_company""]","BaseTech Ventures is a family-office/holding investment group with fintech/technology signals, requiring light search."
2811,490670-38,Batuhan Dasgin,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_investor"",""crypto_investment_exposure""]","Batuhan Dasgin is an individual angel investor with crypto-investor profile signals, requiring light search."
2812,497380-96,Bay Wharf Capital,baywharfcapital.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""fintech_investment_signal""]","Bay Wharf Capital is an early-stage VC with fintech investment signals, requiring light search."
2813,484850-44,Bayz,bayz.gg,VC-Backed Company,operating_company_disguised_as_investor,medium,low,full,yes,"[""historical_or_inactive_status"",""crypto_gaming_or_dao_signal""]","Bayz was a blockchain gaming/DAO operating company and is reported inactive in local input, requiring full search for current capability status."
2814,484780-51,BBS Finance,bbsfinance.be,Asset Manager,asset_manager_or_family_office,medium,low,light,yes,"[""crypto_or_blockchain_investment_signal"",""limited_current_official_evidence""]","BBS Finance has blockchain-investor profile signals, requiring light search."
2815,264919-33,Beachhead Capital,beachhead.vc,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""venture_capital_row""]","Beachhead Capital is a VC row, requiring light search under the skip guard."
2816,222235-03,Bedrock (Financial Services),bedrockcap.com,Venture Capital,traditional_vc_or_pe,medium,low,light,yes,"[""digital_asset_or_bitcoin_investment_exposure""]","Bedrock is a technology VC with Bitcoin/digital-asset exposure, requiring light search."
2817,515074-33,Bell Partnership,bell-partnership.com,Angel Group,asset_manager_or_family_office,medium,low,light,yes,"[""angel_group"",""crypto_or_blockchain_investment_thesis""]","Bell Partnership is an angel/private investment group with blockchain and fintech investment signals, requiring light search."
2818,11133-01,Benchmark Capital Holdings,benchmark.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""registered_investment_adviser"",""venture_capital_row""]","Benchmark is a venture capital/RIA row, requiring light search under the skip guard."
2819,465888-25,Benjamin Lakoff,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_investor"",""crypto_venture_affiliation""]",Benjamin Lakoff is an individual angel/GP with crypto fund affiliations; light search was needed but individual association cannot support capabilities.
2820,518814-19,Berachain,berachain.com,VC-Backed Company,operating_company_disguised_as_investor,high,high,full,yes,"[""crypto_operating_company"",""defi_protocol_signal"",""execution_venue_signal""]","Berachain is a crypto-native operating company whose official docs describe native DEX and lending protocols, requiring full capability search."
2821,11450-71,Berggruen Holdings,berggruenholdings.com,Family Office,asset_manager_or_family_office,low,low,light,yes,"[""investment_family_office""]","Official site shows a proprietary-capital family office/investment arm across private equity, real estate, venture, public markets, and financial instruments; no current official operating trading, DeFi, or sub-fund evidence found."
2822,65439-01,Berkeley SkyDeck,skydeck.berkeley.edu,Accelerator/Incubator,accelerator_or_incubator,low,medium,full,yes,"[""dedicated_fund_structure""]","Official SkyDeck pages identify Berkeley SkyDeck as an accelerator with SkyDeck Fund as its dedicated venture fund/investment partner, requiring full review for sub-fund structure while showing no trading/execution/DeFi operation."
2823,439478-02,Betterbit,abetter.bid,Corporation,operating_company_disguised_as_investor,unclear,low,light,yes,"[""identity_domain_mismatch"",""local_crypto_signal_unconfirmed""]","Local row names Betterbit and mentions crypto trading-platform investment, but exact-name probes did not confirm a current Betterbit crypto entity and the supplied domain resolves to A Better Bid, an online car-auction marketplace."
2824,233409-16,Bicameral Ventures,bicameralventures.com,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_investor"",""investment_only_crypto_exposure""]","Trusted profiles describe Bicameral Ventures as an inactive or historical blockchain-focused seed VC fund; no current operating trading, DeFi, or sub-fund capability found."
2825,483794-02,BinStarter,,Corporation,operating_company_disguised_as_investor,high,high,full,yes,"[""defi_launchpad"",""launchpad_execution_boundary""]","Official site and docs describe BinStarter as a current multichain launchpad with an insurance protocol and IDO investment opportunities, requiring full capability review; DeFi protocol/service operation is supported, but secondary trade execution is not."
2826,223573-33,Bit Digital,bit-digital.com,Corporation,operating_company_disguised_as_investor,high,medium,full,yes,"[""staking_defi_boundary""]","Official sources show Bit Digital is a current public digital-asset company focused on Ethereum-native treasury and staking strategies, including institutional validator infrastructure; this requires full review and supports DeFi/staking capability only."
2827,484396-93,Bitcoin Addict,,Corporation,operating_company_disguised_as_investor,medium,low,light,yes,"[""crypto_media_not_operator""]","Trusted and secondary profiles identify Bitcoin Addict as a cryptocurrency media/community company, not an investment fund or current trading/execution/DeFi operator."
2828,481182-40,Bitcoin Guru,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""investment_only_crypto_exposure""]",Trusted profile describes Bitcoin Guru as a blockchain-focused venture-capital firm; no current operating capability evidence found.
2829,264330-46,BitOcean,bitocean.co,Corporation,operating_company_disguised_as_investor,high,unclear,full,yes,"[""exchange_license_vs_operation_ambiguous"",""parent_page_context""]","Official and regulator-adjacent sources show BitOcean/COINHUB has Bitcoin ATM and Japan crypto-exchange registration/history, but current exchange operation is not cleanly established."
2830,442587-70,BitWell,bitwellex.com,VC-Backed Company,operating_company_disguised_as_investor,high,medium,full,yes,"[""local_inactive_conflict"",""exchange_current_status_ambiguous""]","Current trusted exchange profiles still describe BitWell as a crypto derivatives/spot/futures exchange, while local input says it is no longer active and market/reserve data are unavailable; full review supports execution-services with manual review."
2831,472553-65,BlackPool Finance,blackpool.finance,VC-Backed Company,hedge_fund_or_quant,high,medium,full,yes,"[""dao_onchain_trading"",""algorithmic_boundary_no_current_direct_support""]","Official site describes BlackPool as a DAO for NFT gaming and trading with on-chain digital assets; current DeFi/on-chain trading activity is supported, while algorithmic-trading wording is not current/direct enough."
2832,459274-33,Blazing Equity,blazingequity.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""traditional_investment_firm""]",Available profiles describe Blazing Equity as a venture/pre-IPO investment firm with no crypto-native or operating trading capability evidence.
2833,1168443-46,Block Pulse,blockpulse.ca,Venture Capital,crypto_native_vc,high,unclear,full,yes,"[""digital_asset_management_boundary"",""third_party_liquidity_language""]",Official site describes Web3 ecosystem growth and digital asset investment management; secondary liquidity/market-making language appears partnership-based and is not direct enough for a capability yes.
2834,188084-80,Block8 (Sydney),block8.io,Venture Capital,operating_company_disguised_as_investor,medium,low,light,yes,"[""venture_builder_inactive_profile""]",Profiles describe Block8 as an Australian blockchain incubator/venture builder and software-development provider; no current financial trading or DeFi operating capability found.
2835,600409-09,BlockAI Ventures,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""investment_only_crypto_exposure""]","Official/minimal web presence and trusted profiles describe a Web3/venture investment firm, without direct current operating trading or DeFi capability evidence."
2836,169648-57,Blockchain Global,blockchainglobal.com,Corporation,exchange_affiliated_investor,high,low,full,yes,"[""historical_stopped_exchange"",""in_liquidation""]","Blockchain Global/ACX had historical crypto exchange capability, but current regulator and secondary evidence shows collapse/liquidation rather than current operation."
2837,228515-86,Blockchain Valley Ventures,bvv.vc,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""acquired_or_integrated_vc"",""investment_only_crypto_exposure""]",Current/official context shows BVV as a blockchain-focused VC/advisor whose team/investments were integrated into yabeo; no current row-level operating capability evidence.
2838,484245-28,BlockchainSpace,blockchainspace.asia,VC-Backed Company,operating_company_disguised_as_investor,high,low,full,yes,"[""external_token_trading_links"",""web3_community_platform""]",Official site describes a Web3 community/guild ecosystem and links $GUILD trading to external venues; this is not self-operated execution or DeFi protocol evidence.
2839,481214-98,BlockGrounds,blockgrounds.com,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""investment_only_crypto_exposure""]",Profiles describe BlockGrounds/Blockground Capital as a blockchain and digital-assets-focused investment firm; no current operating capability evidence found.
2840,501787-90,BLOCKHY.PE PTE. LTD.,blockhy.pe,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""investment_or_marketing_profile_only""]",Crypto fundraising databases describe Blockhy.pe as a venture-capital investor and social-media/marketing engagement solution; no operating trading or DeFi capability found.
2841,1162785-79,Blockin.Ventures,blockin.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,"[""investment_only_crypto_exposure"",""validator_not_defi_by_itself""]",Official site describes a crypto-native venture firm and research/news platform; recent validator language is blockchain infrastructure and does not by itself support a DeFi/trading capability.
2842,437069-53,BlockStart,blockstart.eu,Accelerator/Incubator,accelerator_or_incubator,medium,low,light,yes,"[""accelerator_grant_program_not_sub_fund""]","Official/EU sources describe BlockStart as a blockchain/DLT accelerator and partnership program providing equity-free grants and mentoring, not current trading or a parent fund structure."
2843,491795-02,blockSword Capital,blocksword.capital,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_or_sparse_profile"",""investment_only_crypto_exposure""]",Trusted profile identifies blockSword Capital as a crypto venture investor with sparse/no current operating capability evidence.
2844,495645-76,BlockUnify,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_investor"",""investment_only_crypto_exposure""]",Trusted profiles describe BlockUnify as an out-of-business/inactive crypto venture-capital firm; no current operating capability evidence found.
2845,494957-71,BlockVenture,blockventure.com,Corporation,accelerator_or_incubator,medium,low,light,yes,"[""advisory_alliance_not_operator"",""historical_validator_infrastructure_only""]",Profiles describe BlockVenture Coalition as a blockchain university/fund alliance and advisory practice; a 2021 validator announcement is historical infrastructure and not DeFi/trading capability.
2846,279574-57,BN Capital,bn-capital.com,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""investment_only_crypto_exposure""]",Trusted profile describes BN Capital as an active Shanghai VC investing in blockchain and digital asset sectors; no current operating capability evidence found.
2847,496737-19,Bo Du,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_affiliation_no_inheritance"",""infrastructure_not_defi_by_itself""]","Bo Du is associated with Polymer Labs and blockchain infrastructure, but individual/founder affiliation does not inherit company capabilities and no personal operating trading/DeFi capability evidence was found."
2848,438657-76,Bobby Ong,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_affiliation_no_inheritance"",""data_platform_not_execution""]","Official CoinGecko sources identify Bobby Ong as CoinGecko co-founder/CEO; CoinGecko is a crypto data platform, and individual affiliation does not support personal operating capabilities."
2849,527722-39,Boga Capital,boga.capital,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_investor"",""investment_only_crypto_exposure""]",Trusted profile describes Boga Capital as an inactive Turkey-based blockchain venture-capital firm; no current operating capability evidence found.
2850,383331-61,Bogaroo,bogaroo.com,Family Office,asset_manager_or_family_office,medium,low,light,yes,"[""family_office_strategic_fund_manager_only"",""investment_only_crypto_exposure""]",Profiles describe Bogaroo as a technology advisory firm/product studio/strategic investment fund with blockchain and fintech interests; PitchBook fund evidence is manager-only and not enough for sub_fund yes.
2851,148818-07,Bonds Investment Group,bonds-ig.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,[],"Local and official context identify Bonds Investment Group as a Tokyo venture-capital investor with fintech/startup investment signals, requiring light confirmation; no current direct operating trading or DeFi capability signal was found."
2852,484531-39,BoostX,boostxlabs.com,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""name_collision"",""exact_domain_for_sale""]","BoostX has venture-capital and blockchain investment signals, but the exact domain is now listed for sale and a similarly named BoostX Finance launchpad is a separate identity; light search found no row-attributable operating trading capability."
2853,268755-04,Brad Mills,bradmills.ca,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_no_inheritance""]","Brad Mills has clear Bitcoin/Web3 investor context as an individual and Xsquared Ventures partner, requiring light search; individual affiliations and investments do not establish self-operated capabilities."
2854,484871-77,Brian Evans,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_no_inheritance""]","Brian D. Evans has individual Web3/blockchain investor and advisory signals, but no direct operating capability evidence."
2855,615565-72,Brian Kang,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_no_inheritance""]",Brian Kang is tied to FactBlock/KBW and crypto venture activity as an individual; those affiliations do not create direct personal operating capabilities.
2856,106020-28,Brian Lee,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_no_inheritance""]","Brian Lee is an individual angel and BAM Ventures managing director; local fintech/TMT context required light search, with no operating-capability evidence."
2857,122153-23,Brian Long,brianlong.tv,Angel (individual),angel_or_individual,none,low,light,yes,"[""identity_mismatch"",""individual_no_inheritance""]","The task row is an angel investor, but the normalized domain resolves to a creative director portfolio that does not align cleanly with trusted investor profiles; no capability evidence was found."
2858,495894-34,Brianna Montgomery,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_no_inheritance""]","Brianna Montgomery has Web3/DeFi angel and operating-role context, but capability evidence is only individual affiliation or portfolio exposure."
2859,431710-84,Brightway Future Capital,brightwaycapital.com,Venture Capital,traditional_vc_or_pe,medium,low,light,yes,[],Brightway Future Capital is a VC with blockchain/fintech investment exposure; no direct current operating capability signal was found.
2860,496368-46,BSC Army,,Corporation,operating_company_disguised_as_investor,high,low,full,yes,"[""token_project""]","BSC Army is a crypto token/DAO/community project rather than a conventional investor, requiring full capability checks; token liquidity and DAO context do not establish the six operating capabilities."
2861,107383-42,BTC,b.tc,VC-Backed Company,operating_company_disguised_as_investor,high,low,full,yes,"[""stale_fund_signal""]","BTC Inc is a crypto media/events operating company with a stale/local venture-fund signal, requiring full search; current official evidence lists media/events brands but no active operating trading capability or sub-fund."
2862,458491-78,Buckley Ventures,buckleyventures.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,[],Buckley Ventures is a technology VC with multiple funds; no explicit crypto or operating trading capability signal was found.
2863,494897-95,Buidl.so,buidl.so,Accelerator/Incubator,accelerator_or_incubator,high,low,light,yes,[],Buidl.so/BuidlersTribe has Web3 incubator/grant/networking signals; bounded search found no self-operated trading or DeFi protocol capability.
2864,600094-63,Build A Bera,buildabera.xyz,Accelerator/Incubator,accelerator_or_incubator,high,low,light,yes,"[""portfolio_no_inheritance""]",Build A Bera is a Berachain-focused incubator; it supports launches but does not itself show current DeFi/trading operation or execution services.
2865,182432-53,Building Blocks Ventures,buildingblocks.la,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""inactive_investor"",""domain_pivot""]",Building Blocks Ventures was a venture studio and the exact domain now presents AI consulting; no current capability evidence was found.
2866,589347-73,Bullish Capital,,Corporate Venture Capital,exchange_affiliated_investor,high,unclear,full,yes,"[""child_row_no_parent_inheritance""]","Bullish Capital is the venture-capital arm of the Bullish group, whose parent ecosystem includes trading products, but the child CVC row does not inherit parent exchange capabilities."
2867,52721-02,Byzantine Ventures,,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""inactive_investor""]",Byzantine Ventures is a former VC with no current operating-capability evidence.
2868,462673-27,C.R.E.A.M.,app.cream.finance,VC-Backed Company,operating_company_disguised_as_investor,high,high,full,yes,[],"C.R.E.A.M. is a current decentralized lending protocol, which directly supports the DeFi capability, but not the other trading/execution labels."
2869,521199-01,Cabrit Capital,cabrit.capital,Venture Capital,crypto_native_vc,high,low,light,yes,[],Cabrit Capital is a blockchain-focused early-stage investment vehicle; portfolio exposure does not establish operating capabilities.
2870,159804-91,CAICA,caica.jp,Corporation,operating_company_disguised_as_investor,high,medium,full,yes,"[""former_exchange_business_excluded""]","CAICA DIGITAL is a digital-finance/Web3 group with a current financial-services intermediate holding company; former Zaif exchange and Type I financial instruments businesses were transferred or abolished, so only sub-structure is supported."
2871,484678-81,CaKoin Capital,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_investor""]",CaKoin Capital was a Web3/blockchain VC; inactive status and no current operating capability evidence support all no capabilities.
2872,465987-88,Calvin Chu,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_no_inheritance""]","Calvin Chu is an individual tied to Impossible Finance and DeFi/Web3 activity, but individual founder/core-builder status does not establish row-level operating capabilities."
2873,51222-97,Cambridge Innovation Center,cic.com,Accelerator/Incubator,accelerator_or_incubator,low,low,light,yes,[],"CIC is an innovation-campus/startup-support organization with accelerator/incubator signals, but no trading, DeFi, or qualifying sub-fund capability evidence."
2874,454963-15,Camford Capital,camford.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,[],Camford Capital is an early-stage venture-capital firm focused on health/technology sectors; no operating capability evidence was found.
2875,234050-41,Capella Partners,capella.vc,Venture Capital,asset_manager_or_family_office,none,medium,full,yes,"[""broker_dealer_affiliate_boundary""]","Capella Partners has current official/regulatory evidence tying securities transactions to its registered broker-dealer affiliate, supporting execution_services, while no other capability is shown."
2876,510002-74,CarbonBlue Innovations,carbon.blue,Accelerator/Incubator,accelerator_or_incubator,medium,low,light,yes,[],"CarbonBlue is a fintech/blockchain/digital-finance venture builder and private-equity ecosystem, but search found no direct trading, execution, DeFi, or parent fund capability evidence."
2877,460096-93,Cardano Foundation,cardanofoundation.org,VC-Backed Company,operating_company_disguised_as_investor,high,medium,full,yes,[],"Cardano Foundation is a blockchain operating foundation with a current Venture Hub/funding-and-partnerships vehicle, supporting sub_fund but not direct DeFi or execution-service operation."
2878,594287-20,Carlos Pereira,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""name_ambiguous"",""individual_no_inheritance""]","Search found a likely investor profile for Carlos Pereira at BITKRAFT with Web3/blockchain focus, but the task row lacks domain/location and the name is ambiguous; no personal operating capability evidence was found."
2879,112750-75,Carrington Mortgage Services,carringtonmortgage.com,Corporation,operating_company_disguised_as_investor,none,low,light,yes,"[""child_row_no_parent_inheritance""]","Carrington Mortgage Services is a mortgage lending/servicing operating company and child within Carrington, with no trading/execution capability under the Part6 definitions."
2880,489374-38,Casa-Dea Finance,,Corporation,fund_vehicle_or_fund_platform,none,low,light,yes,[],Casa-Dea Finance is described as a privately held Canadian investment fund/finance firm; search found no operating trading or sub-fund capability evidence.
2881,230386-15,Casey Neistat,,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_attribution_boundary""]","Angel investor profile and local context show Web3/crypto investment exposure, but no current direct signal that the individual operates trading, execution, market making, DeFi protocol/trading, OTC, or fund-platform capabilities."
